timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1529314145245,34,HTTP Request,200,OK,Thread Group 1-26,text,true,,2598,187,54,54,34,0,16
1529314145264,15,HTTP Request,200,OK,Thread Group 1-5,text,true,,2598,187,54,54,15,0,1
1529314145249,31,HTTP Request,200,OK,Thread Group 1-6,text,true,,2598,187,54,54,30,0,14
1529314145262,18,HTTP Request,200,OK,Thread Group 1-24,text,true,,2598,187,54,54,18,0,1
1529314145251,29,HTTP Request,200,OK,Thread Group 1-13,text,true,,2598,187,54,54,29,0,14
1529314145265,16,HTTP Request,200,OK,Thread Group 1-29,text,true,,2598,187,54,54,16,0,1
1529314145248,33,HTTP Request,200,OK,Thread Group 1-12,text,true,,2598,187,54,54,33,0,17
1529314145267,14,HTTP Request,200,OK,Thread Group 1-14,text,true,,2598,187,54,54,14,0,0
1529314145245,37,HTTP Request,200,OK,Thread Group 1-15,text,true,,2598,187,54,54,37,0,18
1529314145252,30,HTTP Request,200,OK,Thread Group 1-45,text,true,,2598,187,54,54,30,0,14
1529314145275,8,HTTP Request,200,OK,Thread Group 1-11,text,true,,2598,187,54,54,7,0,2
1529314145249,34,HTTP Request,200,OK,Thread Group 1-3,text,true,,2598,187,54,54,34,0,18
1529314145274,9,HTTP Request,200,OK,Thread Group 1-51,text,true,,2598,187,54,54,9,0,3
1529314145241,43,HTTP Request,200,OK,Thread Group 1-32,text,true,,2598,187,54,54,42,0,27
1529314145274,10,HTTP Request,200,OK,Thread Group 1-33,text,true,,2598,187,54,54,10,0,2
1529314145275,9,HTTP Request,200,OK,Thread Group 1-10,text,true,,2598,187,54,54,9,0,2
1529314145270,15,HTTP Request,200,OK,Thread Group 1-52,text,true,,2598,187,54,54,15,0,7
1529314145270,16,HTTP Request,200,OK,Thread Group 1-2,text,true,,2598,187,54,54,16,0,7
1529314145271,15,HTTP Request,200,OK,Thread Group 1-49,text,true,,2598,187,54,54,15,0,7
1529314145273,14,HTTP Request,200,OK,Thread Group 1-28,text,true,,2598,187,54,54,14,0,3
1529314145254,33,HTTP Request,200,OK,Thread Group 1-50,text,true,,2598,187,54,54,33,0,30
1529314145272,15,HTTP Request,200,OK,Thread Group 1-36,text,true,,2598,187,54,54,15,0,6
1529314145272,16,HTTP Request,200,OK,Thread Group 1-41,text,true,,2598,187,54,54,16,0,6
1529314145261,27,HTTP Request,200,OK,Thread Group 1-38,text,true,,2598,187,54,54,27,0,23
1529314145268,21,HTTP Request,200,OK,Thread Group 1-31,text,true,,2598,187,54,54,21,0,11
1529314145269,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2598,187,54,54,20,0,11
1529314145260,30,HTTP Request,200,OK,Thread Group 1-43,text,true,,2598,187,54,54,30,0,3
1529314145260,30,HTTP Request,200,OK,Thread Group 1-46,text,true,,2598,187,54,54,30,0,25
1529314145241,50,HTTP Request,200,OK,Thread Group 1-53,text,true,,2598,187,54,54,50,0,3
1529314145264,28,HTTP Request,200,OK,Thread Group 1-21,text,true,,2598,187,54,54,27,0,21
1529314145263,30,HTTP Request,200,OK,Thread Group 1-44,text,true,,2598,187,54,54,29,0,22
1529314145265,28,HTTP Request,200,OK,Thread Group 1-39,text,true,,2598,187,54,54,28,0,20
